 ?enkova I.," Institute of Translation Studies, Charles University in Prague, Czech Republic"
Pan J.,"Department of English Language and Literature, Hong Kong Baptist University, Hong Kong, Hong Kong"
Pan R.M.-D.,"FMH M_decine Int.-Endocri., bd Helv_tique 26, 1207 Genève, Switzerland"
Panayiotopoulos T.,"National Technical University of Athens, Electrical Engineering Department, Computer Science Division, Zografou, 157 73 Athens, Greece"
Pandya B.J.,"Takeda Pharmaceutical International, Inc., Deerfield, IL, United States"
Panni M.,
Papadimitriou S.,"Department of Information Management, Technological Educational Institute of Kavala, Kavala 65404, Greece"
Papiol S.,"Clinical Neuroscience, Max Planck Institute of Experimental Medicine, Hermann-Rein Strasse 3, 37075 G_ttingen, Germany"
Papiol S.,"Clinical Neuroscience, Max Planck Institute of Experimental Medicine, Hermann-Rein Strasse 3, G_ttingen, Germany"
Parello C.P.,"University of Rome 'La Sapienza', Italy"
Parente F.,"Rome II, Tor Vergata"
Park E.R.,"Benson-Henry Institute for Mind Body Medicine Massachusetts General Hospital Boston, MA USA"
Park K.,"London Metropolitan University, 84 Moorgate, London, United Kingdom"
Parker L.D.,"School of Commerce, The University of South Australia, Adelaide, 5005 SA, Australia"
Parnes B.L.,"Department of Family Medicine, University of Colorado Health Sciences Center, Aurora, CO, United States"
Parpworth N.,"Environmental Law Unit, Leicester De Montfort Law School"
Partridge R.,"Department of Emergency Medicine, Warren Alpert Medical School of Brown University/Rhode Island Hospital, Providence, RI 02903, USA."
Pasquandrea S.,"Dipartimento di Scienze Del Linguaggio, Universitˆ per Stranieri di Perugia (Italy), Piazza Fortebraccio, 4, 06123 Perugia, Italy"
Patra S.K.,"Common Engineering Group, MAHINDRA COMVIVA, Bangalore, India"
Pattananupong U.,IEEE
Paulik M.,"Interactive Systems Laboratories (interACT), Carnegie Mellon University, United States"
Paulik M.,"Carnegie Mellon University, United States"
Paulik M.,"Interactive Systems Laboratories (interACT), Carnegie Mellon University, United States"
Paulik M.,"Interactive Systems Laboratories (interACT), Carnegie Mellon University (USA), Universit_t Karlsruhe (Germany)"
Paut O.,"D_partement d'Anesth_sie-R_animation, Groupe Hospitalier de la Timone, boulevard Jean-Moulin, 13005 Marseille, France"
Payˆs G.,"Departamento de Lenguas y Traducci—n, Facultad de Artes y Humanidades, Universidad Cat—lica de Temuco, Avenida Alemania, 0422, Temuco, Chile"
Paz J.,"King's College, 8 Cassandra Gate, Cheshunt, Hertfordshire EN8 OXE, United Kingdom"
PEARCE S.J.K.,University of Southamton
Pearl S.,United Kingdom
Pedreschi D.,"Dipartimento di Informatica, Universitˆ di Pisa, Corso Italia 40, 56125 Pisa, Italy"
Pehar D.,"Institute for Social and Political Research, Kralja Petra Kre_imira IV b.b, 88000 Mostar, Bosnia and Herzegovina"
Pelz Georg,"Fraunhofer-Inst of Microelectronic, Circuits and Systems, Duisburg, Germany"
Pelz J.B.,"Chester Carlson Center for Imaging Science, Rochester Institute of Technology, Rochester, NY, United States"
Peng G.,"Centre for Translation Studies, University of Leeds, Leeds, LS2 9JT, United Kingdom"
Penn M.P.,"Mount Holyoke College, United States"
Pere L.,"Computing Services Centre and Department of Informatics and General Technology, Faculty of Science, University of P_cs, Ifjœs‡g òtja 6, H-7624 P_cs, Hungary"
Peretz D.,"Tel Aviv University, Israel"
Perez G.K.,"Massachusetts General Hospital, Boston, MA, United States"
Perez M.,"School of Geography, Earth and Environmental Sciences, Plymouth University, Plymouth, United Kingdom"
Periyakoil V.S.,"Stanford University School of Medicine, Palo Alto, CA, United States"
Perkins D.,"Department Emeritus of English and American Literature, Harvard University, United States"
PETERKIN P.I.,"Bureau of Microbial Hazards, Food Directorate, Health Protection Branch Ottawa, Ontario, K1A 0L2, Canada"
Peterson R.,"ASL Interpreting Program, Northeastern University, Boston, MA, United States"
Petho G.,"University of Miskolc, Hungary"
Petit ƒ.,"FRGDS de Bourgogne, 42, rue de Mulhouse, 21000 Dijon, France"
Petite C.,"French Department, University College Dublin, Belfield Dublin 4, Ireland"
Petrenko L.F.,
Petrenko N.G.,
Petrilli S.,"University of Bari, Italy"
Petsche H.,"Inst. Neurophysiol. der Univ. W., W_hringer Stra§e 17, A-1090 Wien, …sterreich, Germany"
Peyronny C.,"Service de Radiologie, Hopital Laennec-Boucicaut, 42, Rue de Sevres, F 75340 Paris Cedex 07, France"
Pfister T.,"Department of Engineering Science, University of Oxford, Oxford, United Kingdom"
Pham K.,"Department of Emergency Medicine, Kern Medical Center, Bakersfield, CA, United States"
Phelan M.,"School of Applied Language and Intercultural Studies, Dublin City University, Dublin 9, Ireland"
Phelan M.,"Institute of Psychiatry, London SE5 8AF, United Kingdom"
Philip A.G.S.,"Stanford University Medical Center, Stanford, CA, United States"
Phillips C.,"Social Foundations of Medicine, Medical School, Australian National University, Canberra, ACT, Australia"
Phillips C.B.,"Academic Unit of General Practice and Community Health, Medical School, Australian National University, Canberra, ACT 0200, Australia"
Phillips L.R.,"University of California, Los Angeles, Box 956919, Los Angeles, CA 90095-6919, United States"
Phillips S.J.,"Program in Nursing Science, University of California, Irvine, CA, United States"
Phinney A.,"University of British Columbia, School of Nursing, T201 2211 Wesbrook Mall, Vancouver, BC, Canada"
Phinney A.,University of British Columbia School of Nursing
Piazzalunga U.,"Department of Mechanical Engineering, Colorado State University, Fort Collins, CO 80523, United States"
Piccaluga M.,"Universit_ de Mons-Hainaut (AUWB), Spain"
Pich_ V.,"Action Canada for Population and Development, University of Montreal, Centre Interuniversitaire d'ƒtudes D_mographiques, Montreal, Que., Canada"
Pignataro C.,"IULM, Milano, Italy"
Pillay A.,"Law, University of Durham, United Kingdom"
Pimentel V.M.,"Maternal-Fetal Medicine Fellow, Department of Obstetrics and Gynecology and Women's Health, Montefiore Medical Center, Bronx, NY, United States"
Pinkerton Y.,"Monash University, United Kingdom"
Pinzauti G.,"European University Institute, Florence, Italy"
Pitchforth E.,"Department of Health Sciences, University of Leicester, 22-28 Princess Road West, Leicester, LE1 6TP, United Kingdom"
Pittarello S.,"University of Trieste, Italy"
Pizzi D.,
Pizzolotto R.,"Dipartimento Ecologia UNICAL, via P. Bucci 4b, 87036 Rende (CS), Italy"
Place D.L.,"Environmental Science and Engineering, Colorado School of Mines, Golden, CO 80401, United States"
Plejert C.,"Center for Dementia Research, Department of Social and Welfare Studies, Link_ping University, Link_ping, Sweden"
Pl_tz J.,"TU Darmstadt, Rotlintstr. 54, 60316 Frankfurt am Main, Germany"
Podhorodecki A.D.,"Medical Department, International Center for the Disabled, New York, NY, United States"
Polfliet S.J.,"Law Program, University of California, San Francisco, CA, United States"
Poljac L.,
Pollitt K.,"University of Central, Lancashire, United Kingdom"
Pommier A.,"School of Earth and Space Exploration, Arizona State University, Tempe, AZ, United States"
Pontani F.,"Universitˆ ca'Foscari, Venice, Italy"
Pope C.A.,"College of Nursing, Medical University of South Carolina, 99 Jonathan Lucas Street SN511, MSC 160, Charleston, SC, United States"
Popov M.M.,"Halliburton, Canada"
Porshneva E.,"N.A. Dobrolyubov Nizhny Novgorod, State Linguistic University, 31a Minina street, Nizhny Novgorod, Russian Federation"
Portman R.M.,"Jenner & Block, Washington, DC, USA."
Poss J.E.,"Refugee Clinic, Erie County Medical Center, New York, United States"
Potosky A.L.,"Division of Cancer Control and Population Sciences, National Cancer Institute, Bethesda, Maryland 20892-7344, USA."
Poveda D.,"Departamento Interfacultativo de Psicolog’a Evolutiva y de la Educaci—n, Facultad de Psicolog’a, Universidad Aut—noma de Madrid, Campus de Cantoblanco, 28049 Madrid, Spain"
Powell C.,"Bureau for Global Health, US Agency for International Development, Washington, District of Columbia, USA."
Poyatos F.,"Universidad de New Brunswick, Canada"
Preisler G.,"Department of Psychology, Stockholm University, Stockholm, Sweden"
Preloran H.M.,"Center for Culture and Health, Department of Psychiatry and Bio-Behavioral Sciences, University of California, Los Angeles, CA, United States"
Preo?anin T.,"Laboratory of Physical Chemistry, Department of Chemistry, University of Zagreb, Horvatovac 102a, 1000 Zagreb, Croatia"
Preo?anin T.,"Laboratory of Physical Chemistry, Department of Chemistry, Faculty of Science, Horvatovac 102a, 10001 Zagreb, Croatia"
Pretto A.,"Auditory-Verbal Center, Inc., Atlanta, GA, United States"
Price E.L.,"Division of General Internal Medicine, Department of Medicine, Medical Effectiveness Research Center for Diverse Populations, University of California, San Francisco (UCSF), San Francisco, United States"
Prior N.H.,"Zoology Department, University of British Columbia, Vancouver, BC, Canada"
Proebsting Todd A.,"Univ of Arizona, Tucson, United States"
Proelss A.,"Faculty of Law, University of Trier, 54286 Trier, Germany"
Provencher M.T.,"Department of Orthopaedic Surgery, Rush University, Division of Shoulder and Sports Surgery, Chicago, IL, United States"
Proverbio A.M.,"Department of Psychology, University of Milano-Bicocca, Via dell'Innovazione 10, 20126 Milan, Italy"
Proverbio A.M.,"Department of Psychology, University of Milano-Bicocca, Viale dell'Innovazione 10, 20126 Milan, Italy"
Proverbio A.M.,"Department of Psychology, University of Milano-Bicocca, Piazza dell'Ateneo Nuovo 1, 20126, Milano, Italy"
Prun? E.,"ITAT, Graz, Austria"
Pruthi S.,"Department of Medicine, Mayo Clinic, Rochester, MN, United States"
PrŸgl T.,"Department of Theology, University of Notre Dame, United States"
P_chhacker F.,"Centre for Translation Studies, University of Vienna, Austria"
P_chhacker F.,"Centre for Translation Studies, University of Vienna, Austria"
P_chhacker F.,"Centre for Translation Studies, University of Vienna, Austria"
P_chhacker F.,"Center for Translation Studies, University of Vienna, Gymnasiumstrasse 50, 1190 Vienna, Austria"
P_chhacker F.,"Centre for Translation Studies, University of Vienna, Austria"
P_chhacker F.,"Department of Translation and Interpreting, University of Vienna, Austria"
P_chhacker F.,"University of Vienna, Australia"
Pugh M.A.,"University College London, London, United Kingdom"
Putanowicz R.,"Institute for Computational Civil Engineering, Cracow University of Technology, Poland"
Pym A.,"Department of English and German Studies, Universitat Rovira i Virgili, Avinguda de Catalunya 35, Tarragona, Spain"
Pyoun H.,"Hankuk University of Foreign Studies, Seoul, South Korea"
P_rez M.S.,"Marcos Sarmiento P_rez Edificio de Humanidades, Universidad de las Palmas de Gran Canaria, C/ P_rez del Toro, 1, 35003 Las Palmas de Gran Canaria, Spain"
P_rez-Gallardo J.R.,"Instituto Tecnol—gico de Orizaba, Veracruz, Mexico"
Qin J.,"Department of Industrial and Systems Engineering, Rochester Institute of Technology, Rochester, NY, United States"
Qin J.,"Department of Industrial and Systems Engineering, Rochester Institute of Technology, Rochester, NY, United States"
Quante J.,"Corporate Sector Research and Advance Engineering, Software Robert Bosch GmbH, Renningen, Germany"
Quante J.,"Corporate Sector Research and Advance Engineering Software, Robert Bosch GmbH, Renningen, Germany"
Quattri F.,"Department of Chinese and Bilingual Studies, The Hong Kong Polytechnic University (PolyU), Hong Kong"
Quellec G.,"Institut Telecom, Telecom Bretagne, UEB, Brest, F-29200, France"
Quinlivan J.A.,"University of Notre Dame Australia, School of Medicine, East Melbourne, Vic., Australia"
Quinodoz J.-M.,"53 a, chemin des Fourches, 1223 Cologny Genève Suisse"
Quintero R.G.,"Escuela de Derecho, Universidad Sergio Arboleda, Bogot‡, Colombia"
R?dulescu I.R.,"Department of Mathematics and Informatics, University Politehnica of Bucharest, 313 Splaiul Independentei, RO-060042 Bucharest, Romania"
R?dulescu I.R.,"Department of Mathematics and Informatics, Politehnica University of Bucharest, Splaiul Independentei 313, Bucharest, Romania"
Ra S.,"University of New South Wales, Australia"
Rabl A.,"ƒcole des Mines, 60, boulevard Saint-Michel, Paris 75272, France"
Rada?i? I.,"Ivo Pilar Institute of Social Sciences, Zagreb, Croatia"
Ragaru N.,"CERI, Sciences Po/CNRS, France"
Rahel K.O.,"University of Iowa College of Law, United States"
Rainger J.,"The MRC Human Genetics Unit, MRC Institute of Genetic and Molecular Medicine, University of Edinburgh, Western General Hospital, Edinburgh, United Kingdom"
Rakhmawati S.S.,"Universitas Pendidikan Indonesia, Indonesia"
Ramirez R.,"Music Technology Group, Pompeu Fabra University, Barcelona 08003, Spain"
Ramsey C.,"University of California, San Diego, United States"
Ramsey C.,"Teacher Education Program, University of California, San Diego, San Diego, CA, United States"
Ramsey K.W.,"Department of Pediatrics, University of Hawai'i John A Burns School of Medicine, Honolulu, HI, USA."
Ramutsindela M.,
Rasmussen S.J.,"University of Houston, United States"
Ratib O.,"University Hospital of Geneva, Geneve, Switzerland"
Rault D.,"Imagerie M_dicale V_t_rinaire, 10-12 rue Robert-Flers, 75015 Paris, France"
Rault D.,"Imagerie Med. Veterinaire, 10-12 rue Robert-Flers, 75015 Paris, France"
Raval H.,"Salomons Ctr. Appl. Social P., Broomhill Road, Tunbridge Wells, Kent, TN3 OTG, United Kingdom"
Ravi K.,"Department of Gastroenterology and Hepatology, Mayo Clinic, Rochester, MN, United States"
Rawat S.,"LIG Computer Science Lab, Grenoble INP Ensimag, Grenoble F-38402, France"
Raymond C.W.,"Department of Sociology, University of California, Los Angeles, United States"
Raymond C.W.,"Department of Sociology, Department of Spanish and Portuguese, University of California, Los Angeles, United States"
Raynor E.M.,"Division OHNS, Duke University, DUMC, Box 3805, Durham, NC, United States"
Razinsky L.,
Reavy K.,"Boise State University, Boise, ID, United States"
Reiser C.,"Petroleum Geo-Services, United States"
Reiser C.,"Petroleum Geo-Services, United Kingdom"
Reiter C.,"Universit_t Graz, Merangasse 70/I, 8010 Graz, Austria"
Reithofer K.,"Center for Translation Studies, University of Vienna, Gymnasiumstra§e 50, 1190 Vienna, Austria"
Reithofer K.,"University of Vienna, Austria"
Rempel R.S.,"Ont. Ministry of Natural Resources, 955 Oliver Road, Thunder Bay, Ont. P7B 5E1, Canada"
Ren T.,"University of Chinese Academy of Sciences, Beijing, China"
Rennert S.,"University of Vienna, Austria"
Rennert S.,"Freelance interpreter, Vienna, Austria"
Rennie D.L.,"Department of Psychology, York University, North York, M3J IP3, Ontario, United States"
Repici L.,
Resnik B.,"Philosophische Fakult_t, Humboldt-Universit_t zu Berlin, Berlin, Germany"
Resnik D.B.,"Brody School of Medicine, East Carolina University, Greenville, NC, United States"
Reynolds J.C.,"Systems and Information Science, Syracuse University, United States"
Reynolds J.C.,"School of Computer Science, Carnegie Mellon University, United States"
Reynolds J.F.,"Department of Anthropology, University of South Carolina, United States"
Reynolds S.L.,"Arizona State University, United States"
Reyss A.-C.,"Service de gyn_cologie endocrinienne et m_decine de la reproduction, h™pital Jeanne-de-Flandre, CHRU de Lille, 2, avenue Oscar-Lambret, 59037 Lille cedex, France"
Rhook N.,"La Trobe University, Australia"
Rice P.L.,"Centre for the Study of MothersÕ and Children's Health, School of Sociology and Anthropology, La Trobe University, 463 Cardigan Street, Carlton, Victoria, 3053, Australia"
Rice S.,
Rich C.,
Richard J.,"Facult_ de Th_ologie et de Sciences Religieuses, Universit_ Laval, Qu_bec, QC, Canada"
Richardson J.T.E.,"Institute of Educational Technology, The Open University, Milton Keynes, United Kingdom"
Richter M.W.,"Cap Gemini Switzerland, Albulastr. 55, CH-8048 ZŸrich, Switzerland"
Ridgway P.F.,"Department of Surgical Oncology, Princess Margaret Hospital, Toronto, Ont., Canada"
Rieke I.,"En Collaboration Avec, France"
Rimalower G.,"Interpreting Services International Inc., Van Nuys, CA."
Rinne J.O.,"Turku PET Center, University of Turku, P.O. Box 52, FIN-20521, Turku, Finland"
Ritsos P.D.,"School of Computer Science, Bangor University, Bangor, United Kingdom"
Rivadeneyra R.,"School of Social Ecology, University of California, Irvine, Irvine, CA, United States"
Rivero-Kempf R.,"Maria College, United States"
Roberto C.B.,"Unidad de Medicina Basada en Evidencia, Hospital Dr. S—tero del R’o, Facultad de Medicina, Pontificia Universidad Cat—lica de Chile, Santiago de Chile, Chile"
Roberts B.F.,
Robin S.,"Fujen University, University of Hong Kong, Taipei, Taiwan"
Robinson C.,"Bath Spa University, Newton Park, Bath, United Kingdom"
Robinson M.D.,"Banting/Best Dept. of Medical Res., University of Toronto, Toronto, Ont., Canada"
Roden R.,"Rocky Ridge Resources, Centerville, TX, United States"
Roden R.,
Roden Rocky,"YPF Intl/Maxus, Dallas, United States"
Roder F.,"Psychiatrisches Krankenhans, Seilerweg 29, D-36251 Bad Hersfeld, Germany"
Roder F.,"Psychiatrisches Krankenhaus, Seilerweg 29, D-36251 Bad Hersfeld, Germany"
Rodr’guez Ortiz I.R.,"Departamento de Psicolog’a Evolutiva y de la Educaci—n, Facultad de Ciencias de la Educaci—n, Universidad de Sevilla, Avda. Ciudad Jard’n, 20-22 41005-Sevilla, Spain"
Rodr’guez V.J.,"Decanato de Agronom’a, Universidad Centroccidental Lisandro Alvarado, Barquisimeto, Venezuela"
Roels B.,"Flemish Agency for Civic Integration, Brussels, Belgium"
Roeth M.,"L.P.M.C, Institut de Physique Et Physico-Chimie, Technopole 2000, 1 Boulevard Arago, Metz, F-57078, France"
Rogatkin D.,"Laboratory of Medical and Physics Research, Moscow Regional Research and Clinical Institute, MONIKI, Shepkina str. 61/2, Moscow 129110, Russian Federation"
Rogatkin D.A.,"MONIKI, Moscow, Russian Federation"
Roger P.,"Department of Linguistics, Macquarie University, Sydney, NSW 2109, Australia"
Rogers Jr. E.F.,University of Virginia
Rogers P.,
Rohart F.,"Lab. de Spectroscopie Hertzienne, Ctr. d'Etud. Rech. Lasers et Applic., Universit_ de Lille I, 59655 Villeneuve d'Ascq Cedex, France"
Rohleder P.,"Department of Psychology, Anglia Ruskin University, East Road, Cambridge, CB1 1PT, United Kingdom"
Rohou E.,"Inria, France"
Rohou E.,"Inria Rennes -Bretagne Atlantique, France"
Roller W.,"Interoperability and Assistance Systems, Fraunhofer Institute of Optronics, System Technologies and Image Exploitation, Karlsruhe, Germany"
Rollins L.K.,"Department of Family Medicine, University of Virginia, United States"
Roman G.,"21 Tudor Neculai, 700732 Iasi, Romania"
Romano M.,
Romer T.H.,"Dept. of Comp. Sci. and Engineering, University of Washington, Seattle, WA 98195, United States"
Romer T.H.,"Department of Computer Science, Engineering University of Washington, Seattle, WA 98195, United States"
Rorie S.,
Rose D.E.,"VA HSRandD Center for the Study of Healthcare Provider Behavior, VA Greater Los Angeles Healthcare System, 16111 Plummer Street (152), Sepulveda, CA 91343-2036, United States"
Rose K.A.,"Clinic Associate Professor, Los Angeles College of Chiropractic, 16200 East Amber Valley Dr, Whittier, CA 90609, United States"
Rosebery A.S.,"Chèche Konnen Center, TERC, 2067 Massachusetts Avenue, Cambridge, MA, United States"
Rosen M.D.,
Rosenberg E.,"Department of Family Medicine, McGill University and St Mary's Hospital, Montreal, QC, Canada"
Rosenberg E.,"Department of Family Medicine, McGill University, St. Mary's Hospital, 515 Pine Avenue West, Montreal, Que. H2X 1S4, Canada"
Rosenberg E.,"Department of Family Medicine, Faculty of Medicine, McGill University, 515-517 Pine Ave, Montreal, Que. H2W 1S4, Canada"
Rosendo L.R.,"Departamento de Filologia y Traduccion, Area de Traduccione Interpretacion, Universidad Pablo de Olavide, Ctra. De Utrera km. 1, Sevilla, Spain"
Roser M.E.,"University of Plymouth, Plymouth, United Kingdom"
Rosiers A.,"Erasmus University College, Pleinlaan 5, 1050 Brussels, Belgium"
Ross R.M.,"Department of Medicine Baylor College of Medicine, Houston, TX 77030, United States"
Rousseau C.,"Division of Social and Cultural Psychiatry, McGill University, 7085 Hutchison Street, Local 204.2, Montr_al, QC, H3N 1Y9, Canada"
Roussos S.,
Rovira-Esteva S.,"Department of Translation and Interpreting, Centre for Research in Accessibility and Ambient Intelligence of Catalonia CAIAC, Universitat Aut˜noma de Barcelona, 08193 Bellaterra, Spain"
Roy C.,"Gallaudet University, Washington DC, United States"
Roy C.,"Gallaudet University, Washington, DC, United States"
Roy C.B.,
Roy C.B.,"Gallaudet University, United States"
Roy C.B.,
R_nnberg J.,"Department of Behavioural Sciences, Link_pings Universitet, Swed. Inst. for Disability Research, S-581 83 Link_ping, Sweden"
Ruggles C.L.N.,"School of Archaeology and Ancient History, University of Leicester, University Road, Leicester, United Kingdom"
Russano M.B.,"School of Justice Studies, Roger Williams University, Bristol, United States"
Russell B.R.,"Department of Child Life, Riley Hospital for Children at IU Health, Indianapolis, IN, United States"
Russell D.,"Western Canadian Centre for Studies in Deaf, University of Alberta, Canada"
Russell D.,"Western Canadian Centre for Studies in Deaf, University of Alberta, Canada"
Russo M.,"Department of Interpretation and Translation, Universitˆ di Bologna A Forl“, Corso della Repubblica 136, 47100 Forl“, Italy"
Russo M.,"SSLMIT, University of Bologna"
Russo M.,"University of Bologna, Bologna, Italy"
Rutebemberwa E.,"Department of Health Policy, Planning and Management, Makerere University School of Public Health. ellie@musph.ac.ug"
Rutherford Turnbull H.,
Ryan C.,"Department of Management Systems, Massey University, Private Bag 11-222, Palmerston North, New Zealand"
Ryan K.,"Department of Justice Studies and Sociology, Norwich University, Northfield, VT, United States"
Ryu D.,"Ewha Research Center for Systems Biology (ERCSB), Ewha Womans University, Seoul 120-750, South Korea"
Rzepka C.J.,Boston University
S‡nchez K.V.,"Facultad de Traducci—n e Interpretati—n, C/Puentezuelas, 55, Granada, E-18071, Spain"
S‡nchez P.J.G.,"Universidad Internacional de La Rioja, Spain"
Sabatini E.,"Max Planck Institute for Psycholinguistics, Netherlands"
Sabel P.,"Statoil ASA, Norway"
Sachtleben A.,"AUT University, Auckland, New Zealand"
Sahin M.,"Izmir University of Economics, Izmir, Turkey"
Saintey M.B.,"School of Materials Science, University of Bath, Claverton Down, Bath BA2 7AY, United Kingdom"
Saksiri B.,"Institute for Innovative Learning, Mahidol University, Thailand"
Salaets H.,"KU Leuven /Campus Antwerp, University of the Free State, Bloemfontein, South Africa"
Salaets H.,"KU Leuven, Antwerp Campus, Belgium"
Salevsky H.,"Leibniz-Soziet_t der Wissenschaften, Berlin, Germany"
Salevsky H.,"Humboldt University, Berlin, Germany"
Salopek J.,"Division of Physical Chemistry, Department of Chemistry, Faculty of Science, Horvatovac 102a, HR-10000 Zagreb, Croatia"
Samraj A.,"Department of Information Technology, Mahendra Engineering College, India"
Samstag?Schnock U.,"Faculty of Library and Information Science, University of Toronto, Toronto, Ontario, M5S 1A1, Canada"
Samuels W.J.,"Department of Economics, Michigan State University, East Lansing, MI, United States"
Sanchez S.J.G.,"Paris IV Sorbonne, France"
Sande H.,"Psykososialt Team Flyktninger i N., ÅsgŒrd Sykehus, N-9005 Tromso, Norway"
Sanders K.E.,"Whittier College, United States"
Sanderson T.,"University of the West of England, Bristol, United Kingdom"
Sandler R.,"Department of Internal Medicine, Tulane University, School of Medicine, United States"
Sandrelli A.,"Universitˆ degli Studi Internazionali di Roma (UNINT), Italy"
Sandrelli A.,"UNINT - University of International Studies of Rome, Italy"
Sandrelli A.,
Sandroni C.,"Dept. Anaesthiol. and Intensive Care, Cathol. Univ. School of Medicine, Rome, Italy"
Sangineto E.,"Pattern Analysis and Computer Vision (PAVIS), Istituto Italiano di Tecnologia, via Morego 30, 16163, Genova, Italy"
Santolino M.,"Department of Econometrics, Riskcenter-IREA, University of Barcelona, Avda. Diagonal, 690, Barcelona, Spain"
Santos C.M.S.M.,"Unidade Local de Saœde de Matosinhos EPE, Rua Dr. Eduardo Torres s/n, 4460 - Matosinhos, Portugal"
Santos C.M.S.M.,"Unidade Local de Saœde de Matosinhos EPE, Rua Dr. Eduardo Torres s/n, 4460 - Matosinhos, Portugal"
Sarria M. G.M.,"Pontificia Universidad Javeriana, Cali, Colombia"
Sato Taisuke,"Electrotechnical Lab, Ibaraki, Japan"
Sauter W.,"Tilburg University, Tilburg, Netherlands"
Savrun-Yeniçeri G.,"Computer Science Department, University of California, Irvine, Irvine, CA, United States"
Savrun-Yeniçeri G.,"Donald Bren School of Information and Computer Science, University of California, Irvine, Irvine, CA 92697-3425, United States"
Sawrikar P.,"Social Policy Research Centre (SPRC), University of New South Wales (UNSW), Sydney, NSW, Australia"
Sawyer D.B.,"Office of Language Services, U.S. Department of State, Washington, DC, United States"
Sayeed S.,"Multimedia University (MMU), Malaysia"
Scaglioni G.,"Free-lance Conference Interpreter, United States"
Scammell M.K.,"Boston University School of Public Health, Department of Environmental Health, 715 Albany St., T4W, Boston, MA 02118, United States"
Schachter G.,"Center for European Studies, Northeastern University, 301 Lake Hall, Boston, Massachusetts, 02115, United States"
Schaefer K.,"University of California, Berkeley, School of Law, United States"
Scheffer T.,"Universit_t OsnabrŸck, Graduiertenkolleg Migration E., Schlo§stra§e 8, D-49069 OsnabrŸck, Germany"
Scheid V.,"School of Integrated Health, University of Westminster, London, United Kingdom"
Schenker Y.,"Medical Effectiveness Research Center for Diverse Populations, Department of Medicine, University of California, 0856, 3333, California Street, San Francisco, CA 94143 - 085, United States"
Schenker Y.,"Department of Medicine, University of California, San Francisco, CA, United States"
Scheuerle J.,"Department of Communication Sciences and Disorders, University of South Florida, Tampa, FL, United States"
Schick B.,"University of Colorado, 2501 Kittredge Loop Road, Boulder, CO 80309-0409, United States"
Schick B.,"Speech, Language, and Hearing Sciences Department, University of Colorado, Boulder, CO, United States"
Schick B.,"Speech, Language, and Hearing Sciences Department, University of Colorado, Boulder, CO, United States"
Schinelli M.C.,"Petrobras, Brazil"
Schirn M.,"Seminar fŸr Philosophie, Logik und Wissenschaftstheorie, Ludwig-Maximilians-Universit_t MŸnchen, Ludwigstr. 31, 80539 MŸnchen, Germany"
Schjoldager A.,"The Århus School of Business, Denmark"
Schlote C.,
Schmideler S.,"Archiv fŸr Leipziger Psychiatriegeschichte, Universit_t Leipzig, Germany"
Schmidt C.E.,"Minneapolis Medical Research Foundation, Minneapolis, MN, United States"
Schmidt R.,"Qualitatskontrolle Q., Hoffmann-La Roche AG, Grenzach-Wyhlen, Germany"
Schmidt V.,
Schneeberger C.,"Genosense Diagnostics GmbH, Rennweg 95B, A-1030 Vienna, Austria"
Schocken S.,"Leonard N. Stern School of Business, New York University, United States"
Schoenig J.,"University of Notre Dame, 154 IEI Building, Notre Dame, IN 44556, United States"
Schor E.H.,
Schouten B.,"Department of Communications Science, Amsterdam School of Communication Research, University of Amsterdam, Kloveniersburgwal 48, Amsterdam, Netherlands"
Schouten B.C.,"Department of Communication Science, University of Amsterdam, Amsterdam, Netherlands"
Schrader T.S.,"USDA-ARS Jornada Experimental Range, Las Cruces, NM 88003-8003, United States"
Schreiber J.R.,"Clinical Division, Victorian Institute of Forensic Medicine, Australia"
Schreiner S.,"History of Christianity and Theology, University of Chicago Divinity School, United States"
Schreiter S.,"Klinik fŸr Psychiatrie und Psychotherapie, Universit_tsklinik der Charit_ im St. Hedwig Krankenhaus, Gro§e Hamburger Stra§e 5-11, Berlin, Germany"
Sch_ffner C.,"School of Languages and Social Sciences, Aston University, Aston Triangle, Birmingham, United Kingdom"
Sch_nenberg P.,"Division de gastro-ent_rologie et de nutrition, H™pital cantonal universitaire, Genève."
Schulz S.,"Friedrich-Schiller-Universit_t Jena, Forschungssynthese, Intervention und Evaluation, Institut FŸr Psychologie, 07743 Jena, Germany"
Schulz T.R.,"Victorian Infectious Diseases Service, Royal Melbourne Hospital, Level 5 Doherty Institute, 792 Elizabeth Street, Melbourne, VIC, Australia"
Schuster S.,"University Hospital Basel, Basel, Switzerland"
Schuster S.,"University Hospital Basel, Basel, Switzerland"
Schwartz P.M.,"University of California, Berkeley Law School, Berkeley, CA, United States"
Schweda Nicholson N.L.,"University of Delaware, United States"
Schweitzer R.D.,"Institute of Health and Biomedical Innovation (IHBI) and School of Psychology and Counselling, Queensland University of Technology, Brisbane, Australia"
Schwenke T.J.,"Postdoctoral Fellow in Psychiatry, Emory University School of Medicine, Georgia State University, 748 Livingston Place, Decatur, GA, United States"
Schwerhoff G.,"Technische Universit_t, Dresde"
SchŸz J.,"Institute of Cancer Epidemiology, Danish Cancer Society, Copenhagen, Denmark"
Seal B.C.,"Department of Communication Sciences and Disorders, MSC 4304, James Madison University, Harrisonburg, VA 22807, USA."
